Date,block,plot,clip,clip_id,diam_cm,damg
6/21/2022,1,CT,CT,CT1,23,0
6/21/2022,1,CT,CT,CT2,31,3
6/21/2022,1,CT,CT,CT3,29,0
6/21/2022,1,CT,PU,PU1,28.5,0
6/21/2022,1,CT,PU,PU2,22.5,0
6/21/2022,1,CT,PR,PR1,19,0
6/21/2022,1,CT,PR,PR2,11,0
6/21/2022,1,F2,CT,CT1,37,0
6/21/2022,1,F2,CT,CT2,25,1
6/21/2022,1,F2,PU,PU1,17.5,0
6/21/2022,1,F2,PU,PU2,16,0
6/21/2022,1,F2,PR,PR1,19,0
6/21/2022,1,F2,PR,PR2,15,0
6/21/2022,1,F5,CT,CT1,16.5,2
6/21/2022,1,F5,CT,CT2,13.5,0
6/21/2022,1,F5,PU,PU1,23.5,0
6/21/2022,1,F5,PU,PU2,31,2
6/21/2022,1,F5,PR,PR1,16.5,0
6/21/2022,1,F5,PR,PR2,11,0
6/21/2022,1,F10,CT,CT1,15,2
6/21/2022,1,F10,CT,CT2,18,0
6/21/2022,1,F10,PU,PU1,21.5,2
6/21/2022,1,F10,PU,PU2,17,1
6/21/2022,1,F10,PR,PR1,22.5,0
6/21/2022,1,F10,PR,PR2,,4
6/21/2022,2,CT,CT,CT1,17,0
6/21/2022,2,CT,CT,CT2,23,1
6/21/2022,2,CT,PU,PU1,20,0
6/21/2022,2,CT,PU,PU2,27,2
6/21/2022,2,CT,PR,PR1,13,0
6/21/2022,2,CT,PR,PR2,12,0
6/21/2022,2,F2,CT,CT1,19.5,0
6/21/2022,2,F2,CT,CT2,25.5,1
6/21/2022,2,F2,PU,PU1,21,0
6/21/2022,2,F2,PU,PU2,15,0
6/21/2022,2,F2,PR,PR1,11,0
6/21/2022,2,F2,PR,PR2,14.5,0
6/21/2022,2,F5,CT,CT1,,4
6/21/2022,2,F5,CT,CT2,23,3
6/21/2022,2,F5,CT,CT3,25.5,0
6/21/2022,2,F5,PU,PU1,,4
6/21/2022,2,F5,PU,PU2,15,0
6/21/2022,2,F5,PR,PR1,14,0
6/21/2022,2,F5,PR,PR2,14,0
6/21/2022,2,F10,CT,CT1,27.5,0
6/21/2022,2,F10,CT,CT2,27,1
6/21/2022,2,F10,PU,PU1,30,2
6/21/2022,2,F10,PU,PU2,16,0
6/21/2022,2,F10,PR,PR1,23,0
6/21/2022,2,F10,PR,PR2,16.5,3
6/21/2022,3,CT,CT,CT1,23.5,0
6/21/2022,3,CT,CT,CT2,17,1.5
6/21/2022,3,CT,CT,CT3,,
6/21/2022,3,CT,PU,PU1,30,1
6/21/2022,3,CT,PU,PU2,22,0
6/21/2022,3,CT,PR,PR1,25,0
6/21/2022,3,CT,PR,PR2,24.5,1
6/21/2022,3,F5,CT,CT1,25,3
6/21/2022,3,F5,CT,CT2,17,0
6/21/2022,3,F5,PU,PU1,23,3
6/21/2022,3,F5,PU,PU2,24,1
6/21/2022,3,F5,PR,PR1,15.5,1
6/21/2022,3,F5,PR,PR2,16,0.5
6/21/2022,3,F10,CT,CT1,20,3
6/21/2022,3,F10,CT,CT2,24.5,1
6/21/2022,3,F10,CT,CT3,30,1
6/21/2022,3,F10,PU,PU1,15,3.5
6/21/2022,3,F10,PU,PU2,,3.5
6/21/2022,3,F10,PR,PR1,,4
6/21/2022,3,F10,PR,PR2,13.5,1
