species,Accepted Latin Name or Category
And pol,Andromeda polifolia
Ant sp.,Antennaria species
Arc alp,Arctostaphylos alpina
Arc lat,Arctagrostis latifolia
Arc sp.,Arctagrostis species
Arn gri,Arnica griscomii
Arnica sp.,Arnica species
bare,Bare ground
Bet nan,Betula nana
Bis viv,bistorta vivipara
Cal can,Calamagrostis canadensis
Cal lap,Calamagrostis lapponica
Car big,Carex bigelowii
Car mic,Carex microchaeta
Car sp.,Carex species
Cas tet,Cassiope tetragona
Cha ang,Chamaenerion angustifolium
Cha lat,Chamaenerion latifolium
Dia lap,Diapensia lapponica
dicot,unclassified Dicotyledon
Dry int,Dryas integrifolia
Emp nig,Empetrum nigrum
Equ arv,Equisetum arvense
Epi sp.,Epilobium sp.
Eri vag,Eriophorum vaginatum
Eur sib,Eurybia sibirica
Fes sp.,Festuca species
frost boil,Frost boil 
graminoid,unclassified graminoid 
grass,unclassified grass 
Hie alp,Hierochloe alpina
Hie sp.,Hierochloe species
Kal pro,Kalmia procumbens
Lag gla,Lagotis glauca
Led pal,Ledum palustre
lichen,unclassified lichen
litter,unclassified litter 
liverwort sp.,Liverwort species
Loi pro,Loiseleuria procumbens
Luz sp.,Luzula species
Mic nel,micranthes nelsoniana
Min sp.,Minuartia species
moss,unclassified moss
Ped lap,Pedicularis lapponica
Ped sp.,Pedicularis species
Pet fri,Petasites frigidus
Pet sp.,Petasites species
Poa arc,Poa arctica
Poa pra,Poa pratensistensis
Pol bis,Polygonum bistorta
Pol viv,Polemonium vivace
Pro sem,proto semira (asteraceaa)
Pyr gra,Pyrola grandiflora
Pyr sec,Pyrola secunda
Pyr sp.,Pyrola species
Rub cha,Rubus chamaemorus
Sal arc,Salix arctica
Sal phl,Salix phlebophylla
Sal pul,Salix pulchra
Sal ret,Salix reticulata 
Sau ang,Saussurea angustifolia
Sax pun,Saxifraga punctata
Std,Standing dead unclassified 
Std Bet nan,Standing dead Betula 
Std Eri vag,Standing dead Eriophorum vaginatum
Std evrg,Standing dead unclassified evergreen
Std Led pal,Standing dead Ledum palustre
Std Sal pul,Standing dead Salix pulchra 
Std Sal sp.,Standing dead Salix species
Ste edw,Stellaria edwardsi
Ste lon,Stellaria longipes
Ste sp.,Stellaria species
Tof coc,Tofieldia coccinea
Tof sp.,Tofieldia species
Tri ces,Trichophorum cespitosum
Tri spi,Trisetum spicatum
Vac uli,Vaccinium uliginosum
Vac vit,Vaccinium vitis-idaea
Win kill,Winter kill 
Woody,Unclassified woody cover
