Date,Block,Fert_treatment,Treatment ID,Herb_treatment,Diameter (cm),Vole_damge
6/21/2022,1,CT,CT1,CT,23,0
6/21/2022,1,CT,CT2,CT,31,3
6/21/2022,1,CT,CT3,CT,29,0
6/21/2022,1,CT,PU1,PU,28.5,0
6/21/2022,1,CT,PU2,PU,22.5,0
6/21/2022,1,CT,PR1,PR,19,0
6/21/2022,1,CT,PR2,PR,11,0
6/21/2022,1,F2,CT1,CT,37,0
6/21/2022,1,F2,CT2,CT,25,1
6/21/2022,1,F2,PU1,PU,17.5,0
6/21/2022,1,F2,PU2,PU,16,0
6/21/2022,1,F2,PR1,PR,19,0
6/21/2022,1,F2,PR2,PR,15,0
6/21/2022,1,F5,CT1,CT,16.5,2
6/21/2022,1,F5,CT2,CT,13.5,0
6/21/2022,1,F5,PU1,PU,23.5,0
6/21/2022,1,F5,PU2,PU,31,2
6/21/2022,1,F5,PR1,PR,16.5,0
6/21/2022,1,F5,PR2,PR,11,0
6/21/2022,1,F10,CT1,CT,15,2
6/21/2022,1,F10,CT2,CT,18,0
6/21/2022,1,F10,PU1,PU,21.5,2
6/21/2022,1,F10,PU2,PU,17,1
6/21/2022,1,F10,PR1,PR,22.5,0
6/21/2022,1,F10,PR2,PR,dead,4
6/21/2022,2,CT,CT1,CT,17,0
6/21/2022,2,CT,CT2,CT,23,1
6/21/2022,2,CT,PU1,PU,20,0
6/21/2022,2,CT,PU2,PU,27,2
6/21/2022,2,CT,PR1,PR,13,0
6/21/2022,2,CT,PR2,PR,12,0
6/21/2022,2,F2,CT1,CT,19.5,0
6/21/2022,2,F2,CT2,CT,25.5,1
6/21/2022,2,F2,PU1,PU,21,0
6/21/2022,2,F2,PU2,PU,15,0
6/21/2022,2,F2,PR1,PR,11,0
6/21/2022,2,F2,PR2,PR,14.5,0
6/21/2022,2,F5,CT1,CT,dead,4
6/21/2022,2,F5,CT2,CT,23,3
6/21/2022,2,F5,CT3,CT,25.5,0
6/21/2022,2,F5,PU1,PU,dead,4
6/21/2022,2,F5,PU2,PU,15,0
6/21/2022,2,F5,PR1,PR,14,0
6/21/2022,2,F5,PR2,PR,14,0
6/21/2022,2,F10,CT1,CT,27.5,0
6/21/2022,2,F10,CT2,CT,27,1
6/21/2022,2,F10,PU1,PU,30,2
6/21/2022,2,F10,PU2,PU,16,0
6/21/2022,2,F10,PR1,PR,23,0
6/21/2022,2,F10,PR2,PR,16.5,3
6/21/2022,3,CT,CT1,CT,23.5,0
6/21/2022,3,CT,CT2,CT,17,1.5
6/21/2022,3,CT,CT3,CT,dead,
6/21/2022,3,CT,PU1,PU,30,1
6/21/2022,3,CT,PU2,PU,22,0
6/21/2022,3,CT,PR1,PR,25,0
6/21/2022,3,CT,PR2,PR,24.5,1
6/21/2022,3,F5,CT1,CT,25,3
6/21/2022,3,F5,CT2,CT,17,0
6/21/2022,3,F5,PU1,PU,23,3
6/21/2022,3,F5,PU2,PU,24,1
6/21/2022,3,F5,PR1,PR,15.5,1
6/21/2022,3,F5,PR2,PR,16,0.5
6/21/2022,3,F10,CT1,CT,20,3
6/21/2022,3,F10,CT2,CT,24.5,1
6/21/2022,3,F10,CT3,CT,30,1
6/21/2022,3,F10,PU1,PU,15,3.5
6/21/2022,3,F10,PU2,PU,dead,3.5
6/21/2022,3,F10,PR1,PR,dead,4
6/21/2022,3,F10,PR2,PR,13.5,1
