"","x"
"1","bare"
"2","Bet nan"
"3","Car big"
"4","Emp nig"
"5","Eri vag"
"6","Led pal"
"7","lichen"
"8","litter"
"9","moss"
"10","Ped lap"
"11","Pol bis"
"12","Rub cha"
"13","St. D. Bet."
"14","Vac uli"
"15","Vac vit"
"16","Sal pul"
"17","Arc alp"
"18","Arc lat"
"19","frost boil"
"20","St. D. Sal pul"
"21","Cas tet"
"22","Luz sp."
"23","And pol"
"24","Pet sp."
"25","grass"
"26","Hie alp"
"27","Sal phl"
"28","Ped sp."
"29","St. D. Sal"
"30","Arnica sp."
"31","Ste edw"
"32","Cal lap"
"33","Pet fri"
"34","Ste lon"
"35","Sau ang"
"36","Hie sp."
"37","Min sp."
"38","Tof sp."
"39","Cal can"
"40","Ste sp."
"41","Sal arc"
"42","dicot"
"43","Dry int"
"44","Lag gla"
"45","Sal ret"
"46","Sax pun"
"47","Pyr sec"
"48","Equ arv"
"49","Pol viv"
"50","Tof coc"
"51","graminoid"
"52","St. D. Led Pal"
"53","Fes sp."
"54","Pyr sp."
"55","bare "
"56","Dead Bet"
"57","Dead Evrg"
"58","Ev litter"
"59","Fr boil"
"60","Grass ex."
"61","Lichen "
"62","Litter"
"63","Moss"
"64","Lichen"
