"","treatment","species","avg.site","site.SD"
"1","CT","And pol",0,0
"2","CT","Bet nan",0.119600405375,0.0606134728308373
"3","CT","Car big",0.0624480206666667,0.0459730973752354
"4","CT","Cas tet",0.00803015958333333,0.0139086443912195
"5","CT","Emp nig",0.00591160283333333,0.0102391964615015
"6","CT","Eri vag",0.139005603125,0.065677928253464
"7","CT","Led pal",0.0592258720416667,0.0400509412007216
"8","CT","lichen",0.0374585667083333,0.0191994173691556
"9","CT","moss",0.172967432041667,0.0626636231879306
"10","CT","Ped lap",0.002890152125,0.0018891403803433
"11","CT","Pol bis",0.00354790075,0.00251460787163017
"12","CT","Rub cha",0.0514225030416667,0.0818944402063546
"13","CT","Sal pul",0.0428250406666667,0.0411191256887412
"14","CT","Sal ret",0.0223550098333333,0.00823322399708968
"15","CT","Stel lon",0.00071428575,NA
"16","CT","Vac uli",0.018779477875,0.010350331531496
"17","CT","Vac vit",0.0583190425833333,0.0332272007399066
"18","EX","And pol",0.00341977791666667,0.00592322910226871
"19","EX","Bet nan",0.0704478989166667,0.0261546892795112
"20","EX","Bis viv",0.0009541985,NA
"21","EX","Car big",0.058927281125,0.0459503849282838
"22","EX","Cas tet",0.009553188875,0.010273237239381
"23","EX","Emp nig",0.00121414879166667,0.00210296739511503
"24","EX","Eri vag",0.191489973958333,0.0357079609856626
"25","EX","Led pal",0.0140534381666667,0.0138650540360958
"26","EX","lichen",0.0124454032916667,0.0140197018374368
"27","EX","moss",0.118212663958333,0.0850599849901263
"28","EX","Ped lap",0.00256593604166667,0.00375472223941453
"29","EX","Pol bis",0.00232037395833333,0.0025233106458712
"30","EX","Rub cha",0.04169063975,0.0688693838776047
"31","EX","Sal pul",0.097409734875,0.0309608545732208
"32","EX","Sal ret",0.0639575015833333,0.0922792110774874
"33","EX","Stel lon",0.00229845375,NA
"34","EX","Vac uli",0.0541822785,0.025035760015565
"35","EX","Vac vit",0.027247938375,0.0371765677025027
"36","PR","And pol",0.00223978541666667,0.00387942213971849
"37","PR","Bet nan",0.0831010160416667,0.0912281376838586
"38","PR","Bis viv",0.0009920635,NA
"39","PR","Car big",0.054629230375,0.0567288171234436
"40","PR","Cas tet",0.0186890154583333,0.0162453351210414
"41","PR","Emp nig",0.0132194290416667,0.0222438683004448
"42","PR","Eri vag",0.192321403875,0.0570189176236282
"43","PR","Led pal",0.0288979547083333,0.0230748638224673
"44","PR","lichen",0.02282863075,0.0144294997045863
"45","PR","moss",0.147850248958333,0.071378709003178
"46","PR","Ped lap",0.007499683125,0.00102626975440411
"47","PR","Pet fri",0.012840786875,NA
"48","PR","Pol bis",0.00864035233333333,0.00560771516641656
"49","PR","Rub cha",0.0524734107916667,0.0683997123354127
"50","PR","Sal pul",0.051860272875,0.0363220814951448
"51","PR","Sal ret",0.0595700814166667,0.0632998614386663
"52","PR","Stel lon",0.000647668375,NA
"53","PR","Vac Oxy",0.00283029875,NA
"54","PR","Vac uli",0.017489921,0.00799324579712007
"55","PR","Vac vit",0.0311685553333333,0.0235190312472285
"56","PU","And pol",0.00252904795833333,0.0037754207735849
"57","PU","Bet nan",0.0783975757916667,0.0533124944627934
"58","PU","Car big",0.0665142154166667,0.0678020549564606
"59","PU","Cas tet",0.0122030371666667,0.0147609776231992
"60","PU","Emp nig",0.0318725074583333,0.0552048022824513
"61","PU","Eri vag",0.176789884541667,0.0528108727857595
"62","PU","Led pal",0.015417153625,0.00811505744630765
"63","PU","lichen",0.0171026342916667,0.0113748129927521
"64","PU","moss",0.158822351458333,0.078224858547757
"65","PU","Ped lap",0.01502649675,0.0135082627689186
"66","PU","Pet fri",0,NA
"67","PU","Pol bis",0.00898500470833333,0.01014937280748
"68","PU","Rub cha",0.0293925355833333,0.026682192132989
"69","PU","Sal pul",0.0684152170416667,0.0257814262973364
"70","PU","Sal ret",0.00728547158333333,0.00804684383687078
"71","PU","Stel lon",0,NA
"72","PU","Vac uli",0.0810361521666667,0.0508507567215696
"73","PU","Vac vit",0.0451730248333333,0.021699611621149
